,payer,denialreason,flowcharts
178,Medicaid of Louisiana - DME,Denied - For Incorrect Billing,"Claim denied due to incorrect billing:

1. Check claim status in software (Payspan/Waystar)
   - Verify if claim was submitted and processed
   - Note the denial reason and date

2. Review Medicaid of Louisiana - DME fee schedule
   - Check if the billed HCPCS code is listed and covered
   - If not covered, proceed to step 4
   - If covered, proceed to step 3

3. Verify correct billing information
   - Check if the correct code is used for the service provided
   - If incorrect, task client to rebill with correct code

4. Call Medicaid of Louisiana - DME
   - Attempt to inquire about denial reason
   - If representative refuses to provide information without login ID, proceed to step 5

5. Check alternative codes
   - Search for other codes that might be covered for the service provided
   - If found, task client to rebill with alternative code
   - If not found, proceed to step 6

6. Verify member eligibility
   - Call Medicaid of LA eligibility at 800-776-6323
   - Confirm if the member is active for the DOS

7. Check claim submission method
   - Determine if electronic submission is allowed
   - If not, note that only paper claims are acceptable

8. Review payment history
   - In software, check if the code has received any payments from this payer
   - If no payments, proceed to step 9
   - If payments found, investigate reason for discrepancy

9. Task client for claim action
   - If rebilling with correct code, provide specific guidelines
   - If submitting fresh claim, provide instructions on appropriate code usage
   - Include necessary payer ID and any specific requirements

10. Document actions taken
    - Upload all relevant documents and notes to Vital Systems

11. Follow up
    - Set a reminder to check claim status after resubmission
    - If denial persists, repeat process or escalate to supervisor"
179,Blue Cross of West Virginia,Authorization issue,"Claim denied due to absent precertification/authorization/notification/pre-treatment:

1. Check claim status in Care Tender
   - Verify if claim is denied

2. Review EOB from Waystar
   - Confirm denial reason and date

3. Search for authorization in:
   - Authorization TAB
   - Document Manager
   - If not found, proceed to next step

4. Call Blue Cross of West Virginia
   - Speak with representative
   - Confirm denial reason (Authorization absent)
   - Note: Retro Authorization is Exceed

5. Gather and submit documentation:
   - If clinical record found, submit
   - If pharmacy work order available, submit
   - If DT (Treatment record) exists, submit
   - Mail documents to Blue Cross of West Virginia

6. Prepare appeal (if no resolution):
   - EA Appeal Timely Filing (TFL): 180 days from denial date
   - Include all available medical necessity evidence

7. For claims with previous denials:
   - Review previous claim details (DOS, invoice number, HCPCS)
   - Submit medical records for the previous claim

8. If authorization is found after initial review:
   - Verify if it was missed during the initial process
   - If valid, resubmit claim with authorization
   - If invalid or expired, proceed with appeal

9. For claims where adjustment is appropriate:
   - Task the claim to the client for adjustment as a billing error

10. Follow up:
    - Set a reminder to check claim status after 30 days of appeal submission
    - If denied again, review all evidence and reconsider appeal or adjustment

11. Special consideration for Blue Cross of Virginia:
    - If no invoice number is available, use other identifying details
    - Adjust claims as billing errors if appropriate

12. Document all actions in the claim notes:
    - Include date, representative name, and details of conversations
    - Note any special instructions or follow-up tasks

13. Regular review:
    - Quarterly review of all pending claims with authorization issues
    - Adjust process as needed based on carrier responses and claim trends"
180,PPO One - United Healthcare Medicare Advantage,Misrouted Claim,"Claim denied due to Misrouted Claim:

1. Review claim status in software
   - Check if claim has been billed to UHC
   - Verify if denial has been received

2. Check claim status in UHC portal
   - Confirm claim denial
   - Note the denial date and reason
   - Verify that claim has been transferred to proper payer for processing

3. Check patient eligibility in UHC portal
   - Verify if patient has a delegated plan to Wellmed

4. If patient has a delegated plan to Wellmed:
   a. Task client to submit claim to Wellmed
      - Provide Wellmed payer ID (WELM2 or TH023)
      - Provide Wellmed mailing address (PO Box 30508, Salt Lake City, UT 84130-0508)
   b. If claim has a balance, note the amount

5. If claim was processed in Waystar:
   a. Check claim processing status
   b. Note that claim was transferred to proper payer/processor for further processing

6. For claims with outstanding balance:
   a. Task client to submit claim to Wellmed
   b. Provide instructions to follow up on the balance

7. Provide additional information to assist with claim submission:
   a. Payer ID: WELM2
   b. Mailing address: PO Box 30508, Salt Lake City, UT 84130-0508

8. If no response has been received from UHC:
   a. Monitor claim status periodically
   b. Consider filing an appeal if necessary

9. Document all actions taken in the claim notes:
   a. Include claim number
   b. Date ranges of service
   c. Carrier name
   d. HCPCS code (if applicable)
   e. All correspondence and follow-up actions

10. Set a reminder to follow up on the claim status after 30 days from submission

11. If additional issues arise during the process:
    a. Consult with a supervisor for guidance
    b. Consider escalation to the payer if necessary

12. Update the claim status in the software after all actions have been taken

13. If claim is eventually paid in full:
    a. Update the payment information
    b. Close the claim

14. If claim remains unpaid after multiple attempts:
    a. File a formal appeal
    b. Escalate to the payer's specialized department

15. Record all appeal details and follow-up actions in the claim history

16. If the claim is eventually resolved:
    a. Update the resolution in the claim history
    b. Document any changes made to the process for future reference"
181,Aetna,Claim in Process,"Claim is in process with Aetna:

1. Review claim in Caretend for any response or update.

2. Check claim status in Waystar:
   - If EOB found, proceed to review EOB.
   - If no EOB found, continue to next step.

3. Verify claim status in Availity:
   - Note the date claim was received by Aetna.
   - Check if claim is still pending.

4. Review patient insurance policy:
   - Look for Medicare coverage details (e.g., CGS Jurisdiction, member ID).
   - Verify if Medicare is available as primary coverage for the patient.

5. Check policy status in Availity:
   - Confirm if Medicare policy is active for the date of service.
   - Verify if Medicare is listed as primary coverage.

6. If Medicare is primary:
   a. Task the claim to the client:
      - Instruct to submit a fresh Medicare claim under CGS Jurisdiction C.
      - Provide necessary claim submission guidelines.
   b. Task client to bill the claim to Medicare as primary:
      - Provide instructions on processing the claim under Medicare guidelines.
   c. Note the timely filing limit (TFL):
      - Record the TFL as 1 year from the date of service.

7. If no Medicare primary found or not applicable:
   a. Call Aetna to inquire about claim status:
      - Speak with a representative and note their name.
      - Ask for the claim processing status and expected timeframe.
   b. If claim is held for premium payment:
      - Verify if premium was indeed paid by the patient.
      - If not paid, task client to collect premium from the patient.
   c. If no specific reason provided:
      - Allow 5-7 business days for further processing.
      - If no progress after this period, escalate to a supervisor.

8. Document all actions taken:
   - Upload any relevant documents to Vital Systems.
   - Ensure detailed notes are kept in the claim file.

9. If claim remains unresolved after multiple follow-ups:
   - Consider filing a formal appeal with Aetna.
   - Gather all necessary documentation for the appeal process.

10. Monitor claim status regularly:
    - Check Caretend, Waystar, Availity, and billing note history weekly.
    - If claim is processed, review the EOB and take appropriate action (payment, denial, or adjustment)."
182,Medicaid of Mississippi - Medical,NOF issue,"Claim denied due to NOF (No File):

1. Review claim status in Caretend or software
   - If claim shows as created with no EDI confirmation, proceed to step 2
   - If claim shows as created with EDI confirmation, check for any response
   - If no response received, proceed to step 2

2. Cross-check claim existence in Waystar
   - If claim not found in Waystar, proceed to step 3
   - If claim found in Waystar, verify status and next steps

3. Check Medicare EOB for crossover claim
   - If crossover claim found, proceed to step 4
   - If no crossover claim found, proceed to step 4

4. Call Medicaid of Mississippi - Medical
   - Speak with representative and gather information about claim status
   - Confirm member effective date and insurance status (primary/secondary)
   - Verify if claim is on file
   - If claim not on file, proceed to step 5
   - If claim on file, verify reason for denial and next steps

5. Check Payer ID in Clearing House
   - Verify Payer ID (e.g., SKMS0 or 77032)
   - Note down the Payer ID for further use

6. Check Payer ID in Waystar
   - Confirm Payer ID matches the one found in step 5
   - If Payer IDs differ, investigate the discrepancy

7. Review primary EOB (if applicable)
   - Verify if primary insurance has paid for the services
   - Note down any relevant procedure codes or authorization information

8. Check for authorization requirements
   - If authorization is needed, gather necessary information
   - If no authorization is required, proceed to step 9

9. Submit fresh claim
   - Use the correct Kit code instead of Per-diem code
   - Include valid payer ID (from step 5 or 6)
   - Submit electronically or as per payer's preference

10. Monitor claim status
    - Check Caretend or software regularly for updates
    - Verify EDI confirmation and response
    - If no response received after multiple attempts, escalate to supervisor

11. If claim continues to be denied:
    - Review all previous actions and decisions
    - Consider potential issues with Payer ID, Kit code, or authorization
    - Consult with supervisor for further guidance
    - Prepare an appeal if necessary

12. Document all actions taken
    - Note down all phone calls, conversations, and decisions
    - Update claim notes in Caretend or software
    - Share relevant information with the team for future reference"
183,Tricare for Life - AL,Claim/service lacks information,"Claim denied due to ""Claim/service lacks information which is needed for adjudication"" with Tricare for Life - AL:

1. Review claim status in software
   - Note the date claim was denied

2. Check in Waystar for EOB
   - Confirm EOB found

3. Call Tricare for Life - AL to verify claim status
   - Speak with representative to confirm claim processing and denial date
   - Note any additional information provided

4. Check Patient Insurance Policy tab
   - Verify if Medicare is listed as primary payer
   - Note Medicare Member ID if available

5. Check eligibility in Availity
   - Verify if Medicare Part A and Part B are active for the date of service (DOS)
   - Note Member ID if available

6. Determine if Medicare is primary payer
   - If yes, proceed to step 7
   - If no, proceed to step 9

7. Verify Timely Filing Limit (TFL) for Medicare submission
   - Note the TFL is 1 year from the DOS

8. Task client to submit claim to Medicare
   - Provide instructions to follow Medicare guidelines
   - Emphasize the importance of timely submission within TFL

9. If Medicare is not primary or TFL has expired:
   - Check if any other secondary insurance is listed
   - If yes, proceed to step 10
   - If no, proceed to step 11

10. For secondary insurance:
    - Verify coverage and eligibility
    - If active, submit claim to secondary insurance first
    - If not active, proceed to step 11

11. For claims where Medicare is not primary or submission is past TFL:
    - Determine if any patient information is missing
    - If missing information is required, task client to obtain it
    - If all information is available, consider appeal process

12. For all scenarios where Medicare is primary and within TFL:
    - Ensure client understands the importance of Medicare primary submission
    - Emphasize the need for timely filing to avoid denial

13. Set follow-up task:
    - Check the status of claim resubmission or appeal
    - Ensure proper handling of any remaining issues

14. Document all actions taken:
    - Record all phone calls, including representative names
    - Note all software checks performed and findings
    - Detail tasks assigned to the client

15. If claim remains unresolved:
    - Consider escalation to a supervisor
    - Explore alternative resolution methods"
184,Aetna Medicare PPO Advantage Plan,Charge exceeds fee schedule,"Claim denied due to exceeding number/frequency approved/allowed within time period:

1. Review claim status in software (Caretend, Payspan, Waystar, Availity, etc.)
   - Check if claim was partially paid or completely denied
   - Note any outstanding balance

2. Verify claim processing status
   - Use Waystar, Caretend, or other designated software
   - Note the date of denial or rejection

3. Check for overlapping claims or previous payments
   - Review previous invoices or claims with similar DOS
   - Verify if any overlapping services were previously paid

4. Examine billing details
   - Check if perdiem codes were used
   - Verify if SH modifier was appropriate for secondary perdiems

5. If claim was billed with perdiem codes:
   a. Research perdiem code billing rules
      - Confirm if perdiem codes are allowed to bill one for the day
   b. Decide to send corrected claim
      - Add SH modifier for secondary perdiems if appropriate
   c. Submit corrected claim electronically

6. If claim exceeds maximum units for allowed time period:
   a. Check for single drug coverage in DT (Drug Therapy)
   b. If maximum frequency met:
      - Task client for adjustment approval
      - Prepare for potential adjustment or write-off

7. If denial is due to duplicate billing:
   a. Verify previous payment
      - Check invoice number and date of service
   b. Place adjustment request in path
   c. Raise task to client for adjustment approval

8. For reconsideration:
   a. Call Aetna Medicare PPO Advantage Plan
      - Inquire about reconsideration status
      - Speak with representative and note their name
   b. If reconsideration received:
      - Provide Document Control # if available
      - Ask for estimated processing time
   c. If reconsideration not received:
      - Provide relevant medical records
      - Request reconsideration and document the case

9. Follow up on reconsideration:
   a. Set a reminder for 30 days
   b. If no update after 30 days:
      - Call Aetna again
      - Request update on reconsideration status
   c. If reconsideration approved:
      - Process payment in software
   d. If reconsideration denied:
      - Review denial reason
      - Decide on next course of action (appeal or adjustment)

10. For partial payments:
    a. Verify the reason for partial payment
    b. If maximum units reached:
       - Follow steps 6-9 for reconsideration or adjustment
    c. If other reason for partial payment:
       - Investigate and resolve the issue

11. Document all actions taken:
    - Update claim notes in software
    - Record phone calls and conversations
    - Note any outstanding tasks or follow-ups

12. If claim cannot be resolved:
    - Escalate to supervisor for further guidance
    - Consider writing off the claim if all options are exhausted"
185,Allegiance Benefit Plan Management,Out of Network,"Claim denied due to out-of-network provider:

1. Review claim status in software
   - If claim is processed, proceed to step 2
   - If claim is not processed, proceed to step 3

2. Check in Waystar for EOB
   - If EOB is found, review denial reason and proceed accordingly
   - If EOB is not found, proceed to step 3

3. Call payer (Allegiance Benefit Plan Management)
   - Confirm claim receipt and denial date
   - Verify reason for denial (out-of-network provider)
   - Note any additional information provided by representative

4. Check software for payment history
   - If no previous payments found, proceed to step 5
   - If previous payments found, review payment history and proceed accordingly

5. Determine patient's insurance status
   - If patient has in-network benefits, attempt to find in-network alternative
   - If patient has no in-network benefits, proceed to step 6

6. Task claim to client for patient billing
   - Inform client that patient is responsible for out-of-network claims
   - Provide claim details and necessary information for patient billing

7. If claim was submitted in error:
   - Document the submission error
   - Consider implementing process improvements to prevent future errors

8. For Orlando Health Disney plan specifically:
   - Confirm that the plan has only HMO benefits and no out-of-network coverage
   - Proceed to step 6

9. Additional actions if applicable:
   - Consider notifying the provider about the insurance plan's limitations
   - Evaluate the need for patient education on out-of-network claims and costs

10. Documentation:
    - Ensure all actions, conversations, and findings are thoroughly documented in the claim notes
    - Update any relevant internal processes or procedures based on claim denial patterns"
186,Blue Cross of Mississippi,Claim_Rejection,"Claim rejected due to excessive unit count:

1. Review claim in Caretend for any response.

2. Check claim status in Waystar.
   - If rejected, note the rejection date.
   - Verify if the rejection is due to excessive unit count.

3. Review billing unit in DT (Diagnosis Treatment).
   - If valid unit count is different from what's billed, note the valid unit count.

4. Verify member information in Myaccessblue webportal.
   - Check effective date and status of primary insurance.

5. If claim rejected due to excessive unit count:
   a. Task the claim to the client
      - Request to submit a fresh claim with the valid unit count (usually 14.286 for J0690 and S9502).
   b. If valid unit already used in DT:
      - Proceed with step 5.a

6. If claim rejected for other reasons (e.g., lack of prior authorization):
   a. Check the Authorization Tab in DT for pending authorization numbers.
   b. If found, call the authorization department.
      - Provide the authorization number and inquire about the status.
   c. If the representative refuses to provide information:
      - Task the claim to the client
      - Request to bill the provided authorization number with a pending status.
   d. If no authorization found or issue not resolved:
      - Task the claim to the client
      - Request to obtain and submit the necessary prior authorization.

7. For any unresolved issues or discrepancies:
   a. Escalate to a supervisor if available.
   b. Consider filing a formal appeal if necessary.

8. Update the claim status in Caretend or appropriate system
   - Include any relevant details from the actions taken

9. Set a follow-up date based on the specific denial reason and insurance guidelines
   - Typically within 12 months from the denial date for corrected claims

10. Monitor claim status after resubmission
    - Check Waystar and DT regularly for updates

11. If the claim is still denied after resubmission:
    - Review all actions taken
    - Consider additional steps or escalation as necessary

12. Document all actions and communications in the claim notes for future reference"
187,Blue Advantage of AL,Paid - Balance Adjustment,"Claim denied due to Paid - Balance Adjustment:

1. Check claim status in software
   - Verify remaining balance

2. Review BCBS portal
   - Confirm claim processing status
   - Check claim processing date

3. Examine EOB
   - Review total allowed amount
   - Note paid amount
   - Identify balance and its classification (sequestration adjustment or contractual)

4. Investigate claim details
   - Verify allowed amount for each code
   - Confirm paid amount for each code

5. If balance is sequestration adjustment:
   a. Task client for adjustment approval
      - Request adjustment for the remaining balance
   b. If adjustment is not approved:
      - Place adjustment form
      - Task client to adjust as contractual adjustment

6. If balance is contractual adjustment:
   a. Check fee schedule in BCBS AL Provider's Portal
      - Verify allowable amount per unit for each code
   b. Calculate payment for each code
   c. If calculation matches paid amount:
      - Proceed to step 5
   d. If calculation differs from paid amount:
      - Place adjustment form
      - Task client to adjust to contractual amount

7. For claims with overlapping DOS:
   a. Check previous paid claims for overlapping dates
   b. If overlap found, task client to submit corrected claim
      - Provide corrected DOS (non-overlapping dates)

8. For claims denied as previously paid:
   a. Check previous paid claims
      - Verify payment for same DOS and HCPCS
   b. If previously paid for same service:
      - Task client to adjust as duplicate
   c. If not previously paid for same service:
      - Proceed to step 3

9. For claims with HCPCS billed as single line items:
   a. Verify if HCPCS codes are typically billed separately
   b. If separate billing is required, task client to adjust as separate line items

10. For claims with drug infusion dates:
    a. Check drug treatment dates in DT
    b. If dates match claim DOS, proceed to step 3
    c. If dates differ, investigate further

11. For claims with payment for kit code and per-diems:
    a. Verify payment for both kit code and per-diems
    b. If payments are correct, proceed to step 3
    c. If payments are incorrect, place adjustment form

12. If no Paid EOB found in Waystar:
    a. Review claim status in software
    b. If partially paid, proceed to step 3
    c. If not partially paid, investigate other potential reasons for denial

13. For corrections:
    a. Task client to submit corrected claim
    b. Provide specific instructions for corrected claim (DOS, HCPCS adjustments, etc.)

14. For adjustments:
    a. Place adjustment form
    b. Task client to adjust as contractual or sequestration

15. Monitor claim status after resubmission or adjustment
    a. Check BCBS portal for processing updates
    b. If claim remains denied, review all previous steps and escalate as necessary"
188,Aetna,Denied - For Primary / Secondary EOB,"Claim denied due to lack of primary payer information:

1. Check claim status in Waystar
   - If denied, note the denial date

2. Call Aetna to confirm claim status and denial reason
   - Note the confirmation of denial date and reason

3. Verify primary payer information with primary representative
   - Confirm if Medicare is the primary insurance

4. Check previous DOS claims or processing notes
   - Verify if Medicare was previously processed as primary

5. Review Medicare status in Availity
   - Check for active Medicare membership and ID number (e.g., 7c22MY7Ej88)

6. Review patient insurance policy
   - Identify the correct Medicare jurisdiction (e.g., Noridian, CGS)
   - Note the correct payer ID (e.g., DMEB, TFL 1 year from DOS)

7. If Medicare is confirmed as primary:
   a. Task the claim to the client
      - Instruct to bill Medicare as primary
      - Include Humana as secondary insurance if applicable

8. If Medicare information is incomplete or inconsistent:
   a. Contact Medicare representative for clarification
   b. Gather necessary documentation (e.g., proof of enrollment, coverage dates)

9. For claims denied by Aetna without primary EOB:
   a. Submit a fresh claim to Medicare as primary
   b. Use the correct Medicare jurisdiction and payer ID
   c. Include necessary information (e.g., TFL, member ID)

10. For overlapping coverage periods:
    a. Verify the date of service falls within Medicare's coverage period
    b. Ensure the correct Medicare plan is used (e.g., Part A, Part B)

11. If claim cannot be resolved through Medicare:
    a. Contact Aetna to discuss potential appeal
    b. Prepare necessary documentation for appeal process

12. Monitor claim status after resubmission
    a. Check Waystar and Availity regularly for updates

13. If claim remains denied after appeal:
    a. Evaluate for potential underpayment
    b. Consider escalation to supervisor or specialized team

14. Document all actions taken in the claim notes for future reference"
189,Blue Cross of Alabama,Claim in Process,"Claim in Process (In Process Status)

1. Review claim status in Caretend or Waystar
   - If no response received, proceed to step 2
   - If EOB found, check for claim acceptance and payment details

2. Check claim status in Alabama Web Portal
   - Verify if claim is still in process
   - Note if received date is available

3. Call BCBS of Alabama
   - Inquire about claim status
   - Ask for claim received date if not available in portal
   - Note representative's name and details provided

4. If claim is accepted and paid:
   - Upload documents to Vital Systems for record-keeping
   - Note payment details (EFT number, payment amount, expected payment date)

5. If claim is still in process:
   a. Allow 30-45 days for normal processing time
   b. If beyond normal processing time:
      - Request escalation
      - Ask for specific reason for delay
      c. If escalation refused:
      - Ask for estimated resolution date
      - Note any mentioned pending documentation

6. Check for Medicare denial in Waystar
   - If found, note Medicare denial details (e.g., CGS Jurisdiction B EOB)

7. Enquire about information required from provider side
   - If no information required, proceed to step 8
   - If information required, follow up with provider for necessary documents

8. Allow additional 30 days for processing
   - Note representative's suggestion to wait
   - Set reminder for follow-up

9. If claim remains unprocessed after 60 days:
   - Prepare and submit a written inquiry to BCBS
   - Request claim status and next steps

10. Document all actions taken:
    - Record claim number
    - Note all representative names
    - Detail all conversations and suggestions provided
    - Update regularly in claim notes

11. Set follow-up date based on representative's suggestion or 60-day mark
    - Prepare to escalate if no progress

12. If claim is finally processed:
    - Verify payment and acceptance
    - Close the claim in the system

13. If claim is denied after processing:
    - Review denial reason
    - Follow appropriate steps for appeal or correction"
190,Aetna,Invalid units of service,"Claim denied due to Invalid units of service:

1. Review claim status in software (e.g., Caretend, Carerend).
2. Check Waystar for EOB and claim processing status.
3. Verify units billed and date of service (DOS) in software and delivery ticket (DT).
4. Compare with view order to confirm billing frequency (e.g., daily, weekly, every 4 weeks).
5. If units billed are less than required:
   a. Task claim to client to change DOS and bill additional units.
   b. Provide specific instructions on date range and units to bill.
6. If units billed are more than required:
   a. Task claim to client to change DOS and reduce units billed.
   b. Provide specific instructions on date range and units to bill.
7. If no EOB found in Waystar:
   a. Call insurance carrier (e.g., Aetna, Blue Cross) to confirm denial reason.
   b. Note down the representative's name and any additional information provided.
8. If denial is due to incorrect date range:
   a. Task claim to client to change DOS to match billing frequency.
   b. Provide specific instructions on date range to use.
9. If denial is due to missing/incomplete medical records:
   a. Place a medical request form to obtain necessary documents.
   b. Submit an appeal with valid medical records to the insurance carrier's address.
10. For corrected claims:
    a. Calculate and note the timely filing limit (usually 180 days from denial).
    b. Ensure corrected claim is submitted within the timely filing limit.
11. If no resolution is achieved:
    a. Consider escalating to a supervisor or specialized team.
    b. Explore alternative resolution methods or write-off procedures.
12. Document all actions taken in the claim notes for future reference.
13. Upload any relevant documents to Vital Systems (if applicable).
14. Set a follow-up date to check on the status of the corrected claim or appeal.
15. If payment is received after correction, close the claim. If not, continue processing based on insurance response."
191,PPO One - Medicaid of Kentucky - United Healthcare,Incorrect/Missing provider information,"Claim denied due to incorrect/missing provider information:

1. Review claim in CareTend software to confirm denial status and details.

2. Check UHC portal to verify claim processing status and specific denial reason (YY2: Billing Taxonomy not valid).

3. Check NPPES registry to verify correct taxonomy code for the service provided.

4. If unable to edit taxonomy code in software:
   a. Attempt to call PPO One - Medicaid of Kentucky - United Healthcare for confirmation of correct taxonomy code.
   b. If confirmation obtained, proceed with corrected claim preparation.

5. Prepare corrected claim:
   a. Use correct taxonomy code from NPPES registry or confirmation.
   b. Ensure TFL (Timely Filing Limit) is within 365 days from DOS (Date of Service).
   c. Use Payer ID: UHNDC for PPO One - Medicaid of Kentucky - United Healthcare.

6. If another claim was adjusted due to incorrect payer contract:
   a. Review software for details of adjusted claim and incorrect payer contract.
   b. Take note of affected invoice number for future reference.

7. If corrected claim is not reflected in Waystar or UHC portal:
   a. Call PPO One - Medicaid of Kentucky - United Healthcare to inquire about the status of the corrected claim.
   b. If no corrected claim exists, proceed with preparing a new corrected claim.

8. Task the client to send the corrected claim:
   a. Provide client with detailed instructions on correct taxonomy code and payer information.
   b. Emphasize the importance of timely submission within the TFL.

9. If unable to edit Taxonomy code in software:
   a. Document the limitation for future reference.
   b. Proceed with corrected claim preparation and client notification as per steps 5-8.

10. For any unresolved issues or discrepancies:
    a. Escalate to a supervisor or specialized team for further investigation.
    b. Consider initiating an appeal process with necessary documentation.

11. Monitor claim status after resubmission:
    a. Check CareTend software and UHC portal regularly for updates.
    b. If denied again, repeat the process from step 1 with any new information obtained.

12. Document all actions taken in the claim notes for future reference:

    - Claim number
    - DOS
    - HCPCS codes
    - Specific denial reason
    - All actions taken and their outcomes
    - Any follow-up tasks assigned"
192,PPO One - United Healthcare Medicare PPO-AARP,Patient is Enrolled in Hospice,"Claim denied due to patient being enrolled in hospice:

1. Review claim status in software
   - Confirm claim has been billed and denied due to hospice enrollment

2. Check UHC portal
   - Verify claim receipt date
   - Note claim processing and denial dates

3. Call payer (UHC)
   - Inquire about specific denial reason
   - Confirm patient's hospice enrollment dates

4. Check Medicare eligibility in Availity
   - Use member ID to verify active coverage
   - Confirm presence of hospice benefit

5. Evaluate hospice enrollment overlap
   - If hospice enrollment overlaps with date of service, proceed to step 6
   - If hospice enrollment doesn't overlap, consider additional processing time (step 9)

6. Determine claim processing approach
   - For overlapping hospice enrollment, task client to submit fresh claim to Medicare for affected dates
   - For non-overlapping hospice enrollment, allow additional processing time (step 9)

7. Task client for action
   - If submitting fresh claim, specify DOS ranges for Medicare and UHC
   - Ensure client knows which dates to include for each payer

8. Follow up on pending claims
   - Set reminder for Medicare's 120-day filing limit
   - Check claim status regularly in both Medicare and UHC systems

9. Allow additional processing time
   - If representative agrees, note the expected timeframe (e.g., 30 calendar days)
   - Monitor claim status during this period without taking further action

10. Appeal process
    - If claim remains denied after additional processing time or appropriate submission
    - Gather necessary documentation (e.g., patient's medical records, provider's statement)
    - Initiate appeal with Medicare and/or UHC, depending on the denial reason

11. Document all actions
    - Record all communication details, including representative names and call reference numbers
    - Note any agreements on additional processing time or special handling

12. Set final follow-up date
    - Based on Medicare's 120-day filing limit and expected resolution timeframe
    - Ensure all possible actions have been taken before finalizing the claim"
193,Blue Cross of Virginia,Non-covered charges/Services,"Claim denied due to non-covered charges or incorrect billing:

1. Review claim status in software (CareTend/Caretend/Payspan)
   - Confirm denial reason and details

2. Check EOB in Waystar
   - Verify denial reason and date
   - Look for crossover EOB or previous denial information

3. Review patient information in DT (Patient Demographics System)
   - Verify address, shipping address, and claim processing information

4. If claim is misdirected:
   a. Check Availity for change of plan or address
   b. Call BCBS of appropriate state (e.g., NC, VA)
   c. Confirm provider registration and correct information
   d. Credit bill the claim to the correct payer
   e. Create new invoice with corrected provider information

5. If denial is due to payment included in another service's allowance:
   a. Verify number of drugs or services covered in DT
   b. Check previous claims for similar services or payments
   c. Submit corrected claim with appropriate modifier (SH for Secondary therapy)
   d. Use TFL (Timely Filing Limit) of 12 months from denial date for corrected claim

6. If denial is due to Medicare supplement plan or guidelines:
   a. Check Alabama portal for member eligibility
   b. Verify if member has Medicare Advantage plan
   c. Task client to submit corrected claim with valid Medicare procedure code
   d. Explain that Medicare supplement plan won't cover denied claims

7. For S9500 or S9502 denials:
   a. Verify if claim is for primary per-diem or secondary therapy
   b. Ensure correct modifier (SH for Secondary therapy) is used

8. If no other valid medical payers are found:
   a. Task client to bill the patient directly
   b. Provide instructions for patient billing

9. For claims with remaining balance:
   a. Check if adjustment is possible as ""Inclusive""
   b. If not, task client to adjust patient responsibility

10. Document all actions taken in claim notes
11. Set follow-up tasks or reminders as needed
12. If denial persists after correction, consider appeal process"
194,Medicaid of Texas - Blue Cross of Texas (STAR),Invalid/Missing taxonomy,"Claim denied due to invalid taxonomy:

1. Review claim status in Caretend
   - If denied, note the specific denial reason

2. Check for EOB in Waystar
   - If EOB not found, proceed to next step

3. Call Medicaid of Texas - TMHP (1800-925-9126)
   - Verify managed care plan and effective date
   - Confirm if claim denial is due to Provider Not Attested or provider not registered with state Texas

4. Verify invoice number in NPPES registry
   - Check if taxonomy is registered under TX and associated with a valid license number
   - Identify alternative valid taxonomy (e.g., 332B00000X for Durable Medical Equipment & Medical Supplies)

5. Check previous paid claims
   - Look for claims with successful payments using the alternative taxonomy (332B00000X)
   - Note the invoice number of a previously paid claim (e.g., 1364725)

6. Task the client to submit a corrected claim
   - Provide the correct taxonomy to use (332B00000X)
   - Request they update the claim with the correct taxonomy and resubmit

7. If the claim is still denied after resubmission
   - Review the denial reason
   - If denial persists, consider filing an appeal with supporting documentation

8. Ongoing monitoring:
   - Keep track of claim status updates
   - If additional issues arise, repeat the process from step 3 or seek further guidance

9. Special cases:
   - For claims with multiple denial reasons, address each reason separately
   - If the provider's taxonomy is corrected, ensure all future claims use the correct taxonomy

10. Documentation:
    - Record all actions taken, including call references and registry verification details
    - Update internal notes with the correct taxonomy to use for future claims"
195,Blue Cross of Alabama,Incorrect/Missing provider information,"Claim denied due to Missing/incomplete/invalid ordering provider primary identifier:

1. Review claim status in Caretend or software.
2. Check Waystar for EOB and denial details.
3. Verify PCP information in Patient information document or BCBS of Alabama Webportal.
4. If PCP is not designated or invalid:
   a. Call Blue Cross of Alabama to confirm denial reason.
   b. Verify if patient selected a PCP at the time of service.
5. If PCP is incorrect or outdated:
   a. Note the correct PCP information (e.g., Clifford Quintana effective from 09/14/2023).
   b. Task the claim to the client to update PCP information.
6. If claim was submitted without Primary Identifier#:
   a. Check the provider report for the Primary Identifier# (e.g., 185338).
   b. Task the client to add the Primary Identifier# and resubmit as a Corrected Claim.
7. If claim exceeds turnaround time (TFL is 180 days from denial date):
   a. Inform the client about the appeal process.
   b. Advise that appealing with medical records may be upheld in future.
8. For claims with multiple issues (missing PCP referral and incorrect PCP information):
   a. Document all issues found.
   b. Task the client to coordinate with the member to update PCP information.
   c. Consider billing the patient if all attempts to resolve fail.
9. If further information is needed:
   a. Request PCP update from the patient or provider.
   b. Monitor for response and follow up as needed.
10. For recurring issues:
    a. Consider conducting a PCP update campaign with affected clients.
    b. Provide training on correct PCP information requirements.

11. Throughout the process:
    a. Document all actions, calls, and decisions in the claim notes.
    b. Update the claim status and next steps in the appropriate software.
    c. Set reminders for follow-up actions if necessary."
